"name","cmc","type","color","rarity","image URL","image Back URL","custom"
"AAT-1","5","Artifact Creature — Droid Construct","WUB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/AAT-1.jpg","","TRUE"
"Acklay of the Arena","5","Creature — Insect Beast","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Acklay of the Arena.jpg","","TRUE"
"Acquire Target","3","Sorcery","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Acquire Target.jpg","","TRUE"
"Admiral Ackbar","6","Legendary Creature — Mon-Calamari Rebel","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Admiral Ackbar.jpg","","TRUE"
"Adroit Hateflayer","3","Creature — Nautolan Sith","UBR","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Adroit Hateflayer.jpg","","TRUE"
"Anakin, Dark Apprentice","5","Legendary Creature — Human Sith","UBR","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Anakin Dark Apprentice.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Anakin Dark Apprentice-Darth Vader.jpg","TRUE"
"Ancient Holocron","3","Artifact",,"rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ancient Holocron.jpg","","TRUE"
"Aqualish Thug","5","Creature — Aqualish Rogue","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Aqualish Thug.jpg","","TRUE"
"Armed Protocol Droid","2","Artifact Creature — Droid Rogue","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Armed Protocol Droid.jpg","","TRUE"
"Arrest","3","Enchantment — Aura","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Arrest.jpg","","TRUE"
"Asajj Ventress","4","Legendary Creature — Dathomirian Sith","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Asajj Ventress.jpg","","TRUE"
"AT-ST","6","Artifact Creature — Trooper Construct","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/AT-ST.jpg","","TRUE"
"Aurra Sing, Bane of Jedi","4","Legendary Creature — Palliduvan Hunter","BR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Aurra Sing Bane of Jedi.jpg","","TRUE"
